,Closed PnL,Closed PnL,Size USD
,sum,mean,sum
classification,,,
Extreme Fear,739110.24849,34.53786207897196,114484261.44
Extreme Greed,2715171.310673,67.89286133909282,124465164.57
Fear,3357155.441642,54.2903996254993,483324789.79
Greed,2150129.272951,42.74355948851957,288582494.72
Neutral,1292920.67555,34.30771839807886,180242063.08
